frame,left_knee,right_knee,left_hip,right_hip,left_elbow,right_elbow,left_shoulder,right_shoulder
389,159.13,142.24,153.6,175.42,131.16,58.56,51.18,11.36
390,158.51,127.11,155.06,177.05,129.86,102.49,51.59,10.28
391,158.28,108.7,156.39,177.38,138.89,135.34,42.63,7.12
392,163.33,90.74,158.54,179.68,138.84,151.65,35.14,5.7
393,160.36,80.51,160.26,177.7,136.52,154.7,29.84,3.69
394,158.56,71.93,162.9,175.89,138.32,159.79,23.82,1.36
395,157.59,69.41,164.91,167.25,135.91,162.99,16.68,1.58
396,157.96,66.49,164.72,158.47,133.12,161.0,10.08,6.42
397,160.59,66.39,167.81,154.23,131.86,150.8,6.03,4.3
398,164.08,86.44,172.16,147.43,119.51,148.54,2.61,1.05
399,166.91,104.97,176.77,141.28,104.89,110.04,0.24,0.58
400,169.17,114.73,178.36,137.65,97.67,71.16,1.51,0.1
401,172.01,123.03,174.68,136.84,84.63,169.73,2.78,0.17
